case,model,accuracy
linear_simple,Perceptron,1
linear_simple,MLP,1
linear_simple,RBF,1
linear_simple,SVM,1
linear_multiple,Perceptron,1
linear_multiple,MLP,1
linear_multiple,RBF,1
linear_multiple,SVM,1
xor,Perceptron,0.5
xor,MLP,1
xor,RBF,1
xor,SVM,0.5
cross,Perceptron,0.486667
cross,MLP,0.993333
cross,RBF,0.79
cross,SVM,0.486667
multi_linear,Perceptron,1
multi_linear,MLP,0.996599
multi_linear,RBF,1
multi_linear,SVM,0.993197
multi_cross,Perceptron,0.348571
multi_cross,MLP,1
multi_cross,RBF,0.942857
multi_cross,SVM,0.405714
